pid,slr_cpc,wnd_cpc,slr_wn,tx_cpct,revenue,cost,profit,lon,lat,t_state,t_county,p_name,p_year
26,0.241912793,1.2,0.201593994,1.2,264218.1565,132476.6093,131741.5472,-106.189265999978,41.6571430000001,WY,Carbon County,Foote Creek Rim II,1999
27,0.712028579,3.55,0.200571431,3.55,769491.2422,391651.5413,377839.7009,-106.242718186274,41.8347566152895,WY,Carbon County,Medicine Bow,1999
28,6.227434134,11.88,0.524194792,11.88,2923158.527,1559145.61,1364012.917,-96.4344168812797,44.4215857865122,MN,Lincoln County,North Shaokatan Wind Farm,2000
29,15.10811064,11.55,1.308061527,11.55,4211376.801,2074891.472,2136485.329,-75.4523106619561,42.8946914099428,NY,Madison County,Madison Windpower,2000
30,8.491785686,6.6,1.286634195,6.6,2100377.396,1177759.075,922618.3207,-78.2453523156525,42.6831222850808,NY,Wyoming County,Wethersfield,2000
31,2.397569481,1.98,1.210893677,1.98,651609.3644,343660.9463,307948.4181,-84.3386866641461,36.1207823335075,TN,Anderson County,Buffalo Mountain (Windrock),2000
32,11.36649166,17.4,0.653246647,17.4,3404254.101,2415901.533,988352.5679,-106.179818499938,41.6750023158585,WY,Carbon County,Foote Creek 4,2000
33,0.28447848,1.42,0.200336958,1.42,312403.9438,156704.4339,155699.5099,-106.240241996874,41.8300630004666,WY,Carbon County,Medicine Bow,2000
34,29.79032585,64.8,0.459727251,64.8,17500820.42,8212459.856,9288360.559,-116.600409297243,33.9044374496305,CA,Riverside County,Mountain View Power Partners I & II,2001
35,6.146420102,29.7,0.206950172,29.7,7405958.365,3288947.205,4117011.16,-103.160903488984,40.9449117384998,CO,Logan County,Peetz Table Wind Farm,2001
36,6.464290923,9.9,0.652958679,9.9,1865671.163,1372802.888,492868.2749,-104.802904310032,40.9955648642568,CO,Weld County,Ponnequin (PSCo),2001
37,77.28111711,80.1,0.964807954,80.1,18732961.7,12731745.26,6001216.44,-93.4133897445658,43.3667273934757,IA,Worth County,Top of Iowa,2001
38,94.15833022,112.2,0.839200804,112.2,26322539.43,17082938.95,9239600.48,-100.383000691492,37.6129896036577,KS,Gray County,Gray County Wind Farm Montezuma),2001
39,0.891051275,0.66,1.35007769,0.66,261109.095,120699.2795,140409.8156,-70.922195,42.30439,MA,Plymouth County,Hull I,2001
40,1.867415372,1.8,1.037452985,1.8,528163.8836,293339.2109,234824.6726,-84.7399410001022,45.7618025115746,MI,Emmet County,Mackinaw City (Bay Windpower I),2001
41,1.194566868,1.32,0.9049749,1.32,304553.4315,206617.2401,97936.19135,-96.435493,47.002392,MN,Clay County,Agassiz Beach,2001
42,1.886223642,1.98,0.952638203,1.98,467655.1944,312205.3646,155449.8298,-95.9556603017851,43.9202256979163,MN,Murray County,"Champepaden, Chandler Hills Phase II",2001
43,1.360137085,1.5,0.906758056,1.5,387725.8727,233823.7835,153902.0893,-96.1139679943074,44.0123155065012,MN,Pipestone County,Kas Farms,2001
44,0.809538043,0.9,0.899486714,0.9,232319.9589,139513.7661,92806.19282,-96.450592,44.520393,MN,Lincoln County,Lakeview Ridge,2001
45,0.589834634,0.66,0.89368884,0.66,168442.1024,102327.3479,66114.75445,-93.560692,45.378792,MN,Sherburne County,"Metro Wind, LLC",2001
46,2.014895205,1.98,1.017623841,1.98,461196.5947,320522.4496,140674.1451,-95.9510270287161,43.9006923444042,MN,Murray County,"Moulton, Chandler Hills Wind Farm Phase II",2001
47,14.13156439,15.84,0.892144216,15.84,4118326.987,2437567.835,1680759.152,-96.2194774893097,44.2223236954035,MN,Lincoln County,Ruthton Wind Farm,2001
48,1.264504628,1.5,0.843003085,1.5,389959.9879,228430.9937,161528.9941,-95.853493,43.754791,MN,Nobles County,Wilmont Hills,2001
49,36.58442754,28.5,1.283664124,28.5,10440520.54,5078810.007,5361710.536,-75.7577956362893,42.9862174461507,NY,Madison County,Fenner Wind Power Project,2001
50,7.444763976,24.6,0.302632682,24.6,6327906.21,2871537.503,3456368.707,-120.271447518175,45.2500363402298,OR,Gilliam County,"Condon Wind Project, phase I",2001
51,24.10153809,22.5,1.071179471,22.5,5648778.853,3716627.686,1932151.168,-120.549421168368,45.5625056178202,OR,Sherman County,Klondike I,2001
52,32.0086598,83.82,0.381873775,83.82,20518299.79,10234283.87,10284015.91,-118.77131889953,45.9930315305785,OR,Umatilla County,Stateline Wind Project,2001
53,18.08999999,13.5,1.339999999,13.5,3871205.501,2468682.576,1402522.925,-79.3909129238813,39.9203927233757,PA,Fayette County,Mill Run Windpower LLC,2001
54,11.98031096,9,1.331145663,9,2971333.831,1645512.527,1325821.304,-79.0112822244671,39.9782855860387,PA,Somerset County,Somerset,2001
55,1.573520607,2.6,0.605200234,2.6,618787.3735,359916.8483,258870.5252,-99.2478410120561,43.8485430031278,SD,Brule County,Chamberlain Wind Project,2001
56,107.5685411,114,0.943583693,114,27009421.89,17922662.5,9086759.384,-102.120547073269,30.9282948714435,TX,Pecos County,Desert Sky,2001
57,86.50725033,82.5,1.048572731,82.5,22748548.87,13488431.85,9260117.029,-102.197263492609,30.9446072796735,TX,Pecos County,Indian Mesa,2001
58,287.508959,276.9,1.038313322,276.9,77532280.47,45192332.96,32339947.5,-102.192069075911,31.2401750705966,TX,Upton County,King Mtn. Wind Ranch,2001
59,95.68109357,80,1.19601367,80,22740547.52,13824852.28,8915695.235,-101.225654189788,35.4671446379839,TX,Carson County,Llano Estacado Wind Ranch at White Deer,2001
60,127.9795429,124.5,1.027948136,124.5,34387970.31,20349643.26,14038327.05,-100.22982899233,32.4343793026254,TX,Nolan County,Trent Mesa,2001
61,169.751712,157.74,1.076148802,157.74,41281479.92,26112575.17,15168904.75,-102.438424482211,30.9369201078408,TX,Pecos County,Woodward Mountain II,2001
62,226.2073718,176.22,1.283664577,176.22,55876629.44,31416637.81,24459991.63,-118.817827190203,46.0180891856772,WA,Walla Walla County,Stateline Wind Project,2001
63,27.59112547,30,0.919704182,30,6193093.755,4730388.404,1462705.352,-90.3800940242545,42.9579489089105,WI,Iowa County,Montfort Wind Farm,2001
64,14.53522532,49,0.296637251,49,9211142.326,5728670.479,3482471.847,-106.110489944401,41.7182163993844,WY,Carbon County,Rock River I,2001
65,14.89517105,40.92,0.364007113,40.92,11445096.77,4938092.284,6507004.491,-116.731915858657,33.9117496956133,CA,Riverside County,Cabazon,2002
66,19.17190151,61.5,0.311738236,61.5,20461595.02,7217472.309,13244122.71,-116.61971353275,33.9258762430547,CA,Riverside County,Whitewater Hill,2002
67,0.5877093,0.75,0.7836124,0.75,234692.5803,111079.291,123613.2893,-93.115601,42.354755,IA,Hardin County,Eldora-New Providence Schools,2002
68,33.18384781,100.048,0.331679272,100.048,26726740.82,11929931.85,14796808.96,-93.6845480362418,43.0160292239954,IA,Hancock County,Hancock County Wind Farm,2002
69,9.001802517,9,1.00020028,9,2155457.774,1454345.212,701112.562,-92.8518130323463,43.9775823647163,MN,Dodge County,McNeilus,2002
70,3.336604862,3.8,0.878053911,3.8,949770.4097,583785.9596,365984.4501,-96.3091671103508,43.5548304519698,MN,Rock County,MinWind I & II,2002
71,2.70965512,3.6,0.752681978,3.6,869618.2591,527550.6793,342067.5799,-95.6800560348888,43.6217917141345,MN,Nobles County,Missouri River Energy Services (MRES),2002
72,2.735371235,2.6,1.052065859,2.6,655958.9768,427618.854,228340.1228,-101.291087985394,48.0263920003931,ND,Ward County,PrairieWinds Minot Wind 1,2002
73,19.28849521,25.2,0.765416477,25.2,7606540.189,3681199.329,3925340.86,-120.272018601845,45.2936792921944,OR,Gilliam County,"Condon Wind Project, phase II",2002
74,35.07420722,39.6,0.885712304,39.6,11311794.53,6089922.748,5221871.783,-118.786793180711,45.9719868852027,OR,Umatilla County,Stateline Wind Project,2002
75,52.24392561,48.1,1.086152299,48.1,11829991.65,7978173.906,3851817.748,-119.095134217194,46.0950276310548,WA,Benton County,Nine Canyon,2002
76,88.31529349,66,1.338110507,66,18835343.89,12011323.67,6824020.221,-79.5401807286423,39.1810365580725,WV,Tucker County,Mountaineer Wind Energy Center (Thomas),2002
77,174.5261818,162,1.07732211,162,39715361.76,26787298.01,12928063.75,-121.805905986576,38.1279302361575,CA,Solano County,High Winds,2003
78,3.950607236,4.5,0.877912719,4.5,1244197.373,687568.0228,556629.3502,-116.555267338661,33.9212110001369,CA,Riverside County,Karen Avenue Windfarm,2004
79,21.80692723,21.78,1.001236328,21.78,7281400.472,3496300.89,3785099.582,-116.591316561899,33.9137528808463,CA,Riverside County,Mountain View Power Partners III,2003
80,3.633098741,9.9,0.366979671,9.9,2916213.627,1199214.049,1716999.577,-121.770847663344,38.127509463381,CA,Solano County,"Solano Wind Project, Phase I",2003
81,37.52715976,172.8,0.217171063,172.8,42775365.13,19273323.57,23502041.56,-102.637934746995,37.7008299375061,CO,Prowers County,Colorado Green Wind Project,2003
82,43.0003485,43.5,0.988513759,43.5,12145058.84,6965960.401,5179098.442,-95.2999235305788,43.3857395879898,IA,Dickinson County,Flying Cloud,2003
83,0.88004216,0.75,1.173389546,0.75,206858.0872,129077.1981,77780.88907,-94.538094,40.896694,IA,Taylor County,Lenox Municipal Utilities,2003
84,83.45447584,85.5,0.976075741,85.5,21952141.33,13660629.31,8291512.016,-96.0352866919709,44.0097250122453,MN,Murray County,Chanarambie,2003
85,0.967775398,0.95,1.018710946,0.95,247721.7337,155197.286,92524.44771,-95.843666,43.747753,MN,Nobles County,Don Sneve Wind Farms,2003
86,15.07705509,17.1,0.881699128,17.1,4468839.8,2641727.13,1827112.67,-96.1405238197631,44.016627984973,MN,Pipestone County,Farmers' coops/Westridge,2003
87,12.69749619,13.5,0.940555273,13.5,3522862.345,2126012.625,1396849.72,-92.7228909600193,43.5538587162208,MN,Mower County,G. McNeilus Wind Farm,2003
88,20.82910575,22.8,0.91355727,22.8,5825299.411,3560626.36,2264673.051,-92.8501667338031,43.9801661385618,MN,Dodge County,McNeilus,2003
89,1.474914978,1.65,0.893887865,1.65,393581.8738,255825.0896,137756.7842,-92.84951,43.958355,MN,Dodge County,McNeilus,2003
90,6.882723672,9,0.764747075,9,2166696.496,1321425.725,845270.7712,-92.8538633053759,43.9814835261695,MN,Dodge County,McNeilus,2003
91,1.424315223,1.9,0.749639591,1.9,460543.4605,278049.293,182494.1675,-95.677044,43.6199910118942,MN,Nobles County,Missouri River Energy Services (MRES),2003
92,39.00201485,51,0.764745389,51,12277923.77,7477301.636,4800622.139,-96.0574197387263,44.0653421090959,MN,Pipestone County,Moraine Wind Power project,2003
93,0.70479148,0.75,0.939721973,0.75,195651.597,118780.995,76870.60197,-96.340393,44.000893,MN,Pipestone County,Pipestone School District,2003
94,1.35117252,1.6,0.844482825,1.6,414776.601,242167.172,172609.429,-96.4182430072104,44.3978920005375,MN,Lincoln County,Shaokatan Power Partners,2003
95,11.96516537,12,0.997097114,12,3027165.429,1929108.017,1098057.412,-96.0081441878287,43.9721121578295,MN,Murray County,Viking,2003
96,37.30142487,40.5,0.921022836,40.5,10400283.16,6306157.536,4094125.625,-98.8857648741915,46.3210895642882,ND,LaMoure County,North Dakota Wind I,2003
97,18.86792868,21,0.898472794,21,5506846.827,3240441.114,2266405.713,-98.8844610767205,46.3196086496469,ND,LaMoure County,North Dakota Wind II,2003
98,1.201992893,1.32,0.910600677,1.32,322232.4903,204967.7605,117264.7298,-103.055873535324,34.3574525047378,NM,Curry County,Llano Estacado Wind Ranch at Texico II,2003
99,185.7444842,204,0.910512178,204,49798462.16,31668834.73,18129627.43,-104.068131038944,34.6363797213978,NM,De Baca County,New Mexico Wind Energy Center,2003
100,4.665331164,3.6,1.295925323,3.6,1158415.902,647549.581,510866.3213,-83.740997,41.375391,OH,Wood County,Bowling Green Municipal,2003
101,87.62470139,74.25,1.180130658,74.25,16837061.02,12761956.41,4075104.609,-98.5729905511441,34.8540971715735,OK,Caddo County,Blue Canyon I,2003
102,113.3931683,102,1.111697729,102,22123603.63,17076128.33,5047475.292,-99.3006373048966,36.5817240589441,OK,Harper County,Oklahoma Wind A,2003
103,42.23652833,41,1.030159227,41,14071002.28,6664992.656,7406009.628,-118.575678607357,45.9389639384357,OR,Umatilla County,Combine Hills I,2003
104,38.85752061,30,1.295250687,30,11619112.4,5392980.044,6226132.357,-79.0030111451322,39.7897529129475,PA,Somerset County,Meyersdale,2003
105,92.77708506,64.5,1.43840442,64.5,19848021.55,12240127.77,7607893.782,-75.4381557370321,41.594695616358,PA,Wayne County,Waymart Wind Farm,2003
106,0.476519675,0.75,0.635359567,0.75,171361.1271,103588.8138,67772.31332,-100.578491,43.002693,SD,Todd County,Rosebud Sioux,2003
107,24.42857555,40.5,0.603174705,40.5,9103634.24,5575563.202,3528071.039,-99.4564297850812,44.3690379023096,SD,Hyde County,South Dakota,2003
108,86.7585665,160,0.542241041,160,33376250.53,21558477.63,11817772.9,-101.20363983142,32.9417295300559,TX,Scurry County,Brazos Wind Ranch,2003
109,2.800373146,3,0.933457715,3,768134.4376,469207.8698,298926.5678,-101.327888,36.472694,TX,Hansford County,Indian Mesa / Aeolus,2003
110,44.66390975,37.5,1.191037593,37.5,9827778.707,6494956.78,3332821.927,-100.337762879182,32.3612922570177,TX,Nolan County,Sweetwater,2003
111,18.63424634,15.6,1.194502971,15.6,5095108.797,2693383.579,2401725.218,-119.150231615864,46.107375032224,WA,Benton County,Nine Canyon II,2003
112,172.7816541,144,1.199872598,144,49638138.85,24968200.16,24669938.69,-110.783056847898,41.3589902624682,WY,Uinta County,Evanston (Wyoming Wind Energy Center),2003
113,5.932104229,5.28,1.123504589,5.28,1286471.549,889510.3878,396961.1613,-121.77427509801,38.1251808935917,CA,Solano County,"Solano Wind Project, Phase IA",2004
114,0.945197621,1.5,0.630131748,1.5,295024.9445,206240.9166,88784.02794,-102.650894,37.362293,CO,Baca County,Lamar III,2004
115,4.289942347,6,0.714990391,6,1487352.453,857639.3055,629713.1473,-102.533022638599,38.032627404215,CO,Prowers County,Lamar Municipal,2004
116,179.5238446,160.5,1.118528627,160.5,43987590.08,26971605.06,17015985.02,-95.3205428022117,42.5217749155787,IA,Buena Vista County,Intrepid,2004
117,0.882863842,0.66,1.337672487,0.66,184692.6157,120425.574,64267.04174,-89.678192,41.453392,IL,Bureau County,Bureau Valley School District,2004
118,1.598984928,1.65,0.969081774,1.65,416761.5682,264010.2004,152751.3679,-93.113892,44.458992,MN,Rice County,Carleton College,2004
119,6.232063253,5.7,1.09334443,5.7,1326592.459,951358.9236,375233.5357,-95.3762671217537,43.6513243143982,MN,Jackson County,Farmer's,2004
120,1.406750892,1.5,0.937833928,1.5,347899.333,236077.4385,111821.8945,-96.391891,44.280891,MN,Lincoln County,JJN Wind Farm,2004
121,8.944895578,9.9,0.903524806,9.9,2500881.989,1535068.497,965813.4919,-92.727553844814,43.5366297546128,MN,Mower County,McNeilus,2004
122,10.92889766,11.55,0.946224905,11.55,3006356.346,1813623.168,1192733.178,-96.3887190239662,43.6439309222731,MN,Rock County,MinWind III-IX,2004
123,2.979175957,3.3,0.902780593,3.3,789219.8949,515909.3164,273310.5785,-94.4427645795844,43.5762425107624,MN,Martin County,Fairmont Wind (SMMPA),2004
124,8.977078452,8.25,1.088130721,8.25,2064854.692,1377899.814,686954.8786,-96.4359448618712,44.021360652984,MN,Pipestone County,West Pipestone (Maiden Winds),2004
125,38.40600709,60,0.640100118,60,13047691.3,8445495.249,4602196.052,-103.356073988822,34.9785890281918,NM,Quay County,Caprock Wind Ranch,2004
126,4.600914432,3.6,1.278031787,3.6,1177196.742,643227.198,533969.5443,-83.736298,41.3835925,OH,Wood County,AMP-Ohio/Green Mountain Energy Wind Farm,2004
127,32.86351086,27,1.217167069,27,9925844.359,4697684.698,5228159.662,-84.3476352394095,36.1258808307204,TN,Anderson County,Buffalo Mountain,2004
128,26.95707878,20.46,1.317550283,20.46,5662524.937,3701616.147,1960908.79,-121.63333496981,37.7643386934774,CA,Alameda County,Diablo Winds,2004
129,65.16311692,50,1.303262338,50,14221308.26,9214206.978,5007101.283,-116.339154402172,32.719955675060604,CA,San Diego County,Kumeyaay Phase I,2005
130,0.821286784,0.75,1.095049045,0.75,247203.8094,124970.4681,122233.3412,-117.358292,34.557693,CA,San Bernardino County,Victorville Wind Project,2005
131,161.7700014,150,1.078466676,150,39562415.8,24816835.08,14745580.72,-93.6603728429196,42.5522991608853,IA,Wright County,Century,2005
132,46.89999998,35,1.339999999,35,7846088.408,6377761.008,1468327.4,-93.666844310750193,42.501946973178,IA,Hamilton County,Century Expansion,2005
133,14.14305608,15,0.942870406,15,3773489.368,2354902.177,1418587.191,-95.3613530310569,42.548128834003,IA,Sac County,Intrepid Expansion,2005
134,1.561522008,1.65,0.946376975,1.65,412740.7045,263119.1228,149621.5817,-94.81562,43.385403,IA,Emmet County,Iowa Lakes Community College,2005
135,0.644586162,0.66,0.9766457,0.66,167480.0602,105499.9375,61980.12278,-94.327393,41.493992,IA,Adair County,Stuart,2005
136,8.034283817,10.5,0.765169887,10.5,2923472.777,1532287.928,1391184.849,-114.949585,42.8586445,ID,Twin Falls County,Fossil Gulch,2005
137,55.96157478,64.5,0.867621314,64.5,19014744.78,9815643.295,9199101.487,-111.841648011474,43.3891220722964,ID,Bingham County,Wolverine Creek,2005
138,31.28502193,23.1,1.354329954,23.1,6261510.805,4219871.536,2041639.269,-89.5734564238157,41.241411159445,IL,Bureau County,Crescent Ridge I,2005
139,2.165343239,1.65,1.312329236,1.65,465653.2428,301246.4649,164406.7779,-90.846191,39.618793,IL,Pike County,Illinois Rural Electric Cooperative,2005
140,132.2974909,150,0.881983272,150,33384522.4,22985958.24,10398564.16,-96.5557888989025,37.5806183633827,KS,Butler County,Elk River,2005
141,1.939604314,1.65,1.175517766,1.65,408009.3109,285677.8527,122331.4582,-95.844292,43.752693,MN,Nobles County,Arnold Wind Farm,2005
142,3.610301054,3.3,1.094030622,3.3,964483.1095,550073.1938,414409.9157,-95.175896,44.5030425,MN,Redwood County,Redwood Falls (SMMPA),2005
143,4.685052826,4.95,0.946475318,4.95,1294121.118,782620.9824,511500.1359,-96.0979923305951,44.0764920251941,MN,Pipestone County,Tholen & Petersen,2005
144,102.6016793,107.2,0.957105218,107.2,25607458.4,16914079.03,8693379.376,-94.8583209089914,43.7950781760197,MN,Martin County,Trimont Area Wind Farm,2005
145,1.464246415,1.65,0.88742207,1.65,431096.0144,253725.4823,177370.5321,-95.877083,45.589645,MN,Stevens County,University of MN -- Morris,2005
146,82.44694238,135,0.610718092,135,38349578,18361029.5,19988548.5,-109.746420898154,46.5724011634259,MT,Wheatland County,Judith Gap,2005
147,0.54576109799999994,0.715,0.763302235,0.715,196261.2041,106409.114,89852.09011,-110.271806462818,46.4995607519021,MT,Wheatland County,Martinsdale Wind Farm,2005
148,0.271339029,0.455,0.596349514,0.455,112514.6135,62557.4544,49957.15908,-110.093007216425,46.4442245867892,MT,Wheatland County,Two Dot Wind Farm,2005
149,29.35087062,33,0.889420322,33,7265168.702,5065267.443,2199901.259,-100.700126102849,47.1207162757482,ND,Burleigh County,Wilton Wind Farm,2005
150,43.35229716,59.4,0.729836653,59.4,12782612.8,8530258.636,4252354.163,-99.9141469841244,42.4599992365568,NE,Brown County,Ainsworth Wind Project (NPPD),2005
151,10.41386408,7.5,1.388515211,7.5,2688151.184,1396202.827,1291948.357,-74.4483406798641,39.3821090189638,NJ,Atlantic County,Jersey Atlantic Wind Farm,2005
152,20.32320364,20,1.016160182,20,5202750.838,3285662.518,1917088.319,-103.357127342224,34.9807850230516,NM,Quay County,Caprock Wind Ranch,2005
153,57.91706659,118,0.490822598,118,22088150.75,15714050.43,6374100.313,-103.821290299104,33.9505418174799,NM,Chaves County,San Juan Mesa,2005
154,168.8019605,136.95,1.232580946,136.95,53021379.19,24046620.76,28974758.43,-75.6247375266328,43.805757731255,NY,Lewis County,Maple Ridge (Lowville),2005
155,169.7082656,149.4,1.135932166,149.4,37597958.79,25267867.28,12330091.51,-98.6407316014081,34.8772200124604,OK,Kiowa County,Blue Canyon II,2005
156,17.06609103,113.6,0.150229675,106.9167559,20581446,12192137.8,8389308.2,-98.756360908856,35.5260522919085,OK,Custer County,Weatherford,2005
157,43.78265115,43.2,1.013487295,43.2,11818260.24,6976147.354,4842112.887,-98.6753191018046,35.4701514308309,OK,Custer County,Weatherford Expansion,2005
158,82.88812255,80,1.036101532,80,26681878.26,13019129.69,13662748.57,-120.580167652697,45.5833276930196,OR,Sherman County,Klondike II,2005
159,0.663201047,0.66,1.004850072,0.66,176948.763,106519.7994,70428.9636,-101.823891,33.580894,TX,Lubbock County,American Windmill Museum,2005
160,34.17914917,115.2,0.296694003,115.2,24803740.34,13521447.87,11282292.47,-100.113619532586,32.3086928322329,TX,Taylor County,Buffalo Gap Wind Farm,2005
161,146.7164792,114,1.28698666,114,28106160.73,20360076.83,7746083.896,-100.002338030356,32.3234384647022,TX,Taylor County,Callahan Divide,2005
162,223.0294126,210,1.062044822,210,55381608.05,34672886.74,20708721.31,-100.050344617789,32.226104778729,TX,Taylor County,Horse Hollow Wind Energy Center,2005
163,105.3244296,98.82,1.065820984,98.82,25950750.14,16349104.9,9601645.242,-100.375704426508,32.3358627774082,TX,Nolan County,Sweetwater Phase II,2005
164,144.4082999,133.5,1.081710111,133.5,35293534.66,22239108.28,13054426.38,-100.427691725419,32.3171747773387,TX,Nolan County,Sweetwater Phase III,2005
165,0.538812455,0.45,1.197361011,0.45,157881.8551,77775.63478,80106.22031,-111.91966999978,40.4396400006519,UT,Utah County,Camp Williams,2000
166,186.1829196,149.4,1.246204281,149.4,51353018.14,26282996.1,25070022.04,-117.824047190085,46.432080569769,WA,Columbia County,Hopkins Ridge Wind Project,2005
167,NA,NA,NA,NA,NA,NA,NA,-104.881038477635,41.1752435164355,WY,Laramie County,F.E. Warren Air Force Base,2005
168,24.49103429,37,0.661919846,37,8854385.879,5167991.082,3686394.797,-121.658767846251,37.8015460359543,CA,Contra Costa County,Buena Vista,2006
169,133.081847,159,0.836992748,159,40709280.82,23902907.13,16806373.69,-121.848976948104,38.1410750174951,CA,Solano County,Shiloh Wind Project,2006
170,29.00335658,24,1.208473191,24,7592276.442,4172036.583,3420239.859,-121.774736063604,38.10175417801,CA,Solano County,Solano Phase IIA,2006
171,49.60270635,60,0.826711773,60,14170352.59,8975469.879,5194882.706,-103.018809258562,40.9640514720369,CO,Logan County,Spring Canyon,2006
172,100.8363278,105.6,0.954889468,105.6,29299734.57,16651229.61,12648504.97,-95.11816670455,42.1307367201836,IA,Crawford County,Victory(Carroll),2006
173,99.42974987,99,1.004340908,99,22660157.85,15906726.44,6753431.41,-99.7576357994088,37.8741202957246,KS,Ford County,Spearville,2006
174,2.550025102,1.8,1.416680612,1.8,649695.3827,336440.6289,313254.7539,-70.856598,42.261192,MA,Plymouth County,Hull Wind Phase II,2006
175,0.892449284,0.66,1.352195885,0.66,259552.5023,120615.8154,138936.6869,-70.623802,41.74139,MA,Barnstable County,Massachusetts Maritime Academy,2006
176,13.16755458,10.5,1.254052817,10.5,3361092.564,1970846.526,1390246.038,-67.8075459550256,46.5624190488103,ME,Aroostook County,Mars Hill,2006
177,7.327418395,15,0.48849456,15,3197827.287,1949425.218,1248402.068,-95.0457316516031,43.9616343705757,MN,Cottonwood County,Bingham Lake,2006
178,0,2.5,0,2.16294999,484121.0855,250770.8997,233350.1858,-94.1549985,43.655834008403,MN,Faribault County,Blue Breezes I & II,2006
179,5.268317026,6.25,0.842930724,6.25,1595768.21,946634.0668,649134.1431,-96.377938973074,44.3021985110496,MN,Lincoln County,Norgaard (7 Projects),2006
180,7.863432227,10,0.786343223,10,2361829.768,1470151.468,891678.2997,-95.9178273500377,43.940746970052,MN,Murray County,East Ridge,2006
