"pid","p_name","p_year","t_cap","t_count","t_rd","slr_cpc","wnd_cpc","slr_wn","tx_cpct","revenue","cost","profit","lon","lat","t_state","t_county","fips","county","state","env_sens_score","dac_sts","energy_brdn","foss_emplmt","coal_emplmt","outage_n","outage_dur","rci","energy_community","sid","lines","max_volt","min_volt","distance_m","distance_km"
24,"Rosiere Wind Farm",1999,660,17,47,15.30100338,11.22,1.363725791,11.22,3770173.879,2056980.29,1713193.59,-87.642317479055,44.654382979117,"WI","Kewaunee County",55061,"Kewaunee County","WI",30,0,3,0.000136,0.000136,1,63,81,0,132594,2,138,138,2750.48715163647,2.75048715163647
25,"Foote Creek 3",1999,750,33,44,0,24.75,0,21.4132049,4128803.8,2412346.645,1716457.154,-106.184491475421,41.6641931665424,"WY","Carbon County",56007,"Carbon County","WY",10,0,2,0.010616,0.003673,0,0,68,1,202479,7,230,134,1380.36610212993,1.38036610212993
26,"Foote Creek Rim II",1999,600,2,47,0.241912793,1.2,0.201593994,1.2,264218.1565,132476.6093,131741.5472,-106.189265999978,41.6571430000001,"WY","Carbon County",56007,"Carbon County","WY",10,0,2,0.010616,0.003673,0,0,68,1,202479,7,230,134,510.044039362967,0.510044039362967
27,"Medicine Bow",1999,710,5,47,0.712028579,3.55,0.200571431,3.55,769491.2422,391651.5413,377839.7009,-106.242718186274,41.8347566152895,"WY","Carbon County",56007,"Carbon County","WY",25,0,2,0.010616,0.003673,0,0,68,1,204224,2,245,230,402.014115700436,0.402014115700436
28,"North Shaokatan Wind Farm",2000,660,18,47,6.227434134,11.88,0.524194792,11.88,2923158.527,1559145.61,1364012.917,-96.4344168812797,44.4215857865122,"MN","Lincoln County",27081,"Lincoln County","MN",10,0,5,0.000505,0.000505,0,0,67,0,138638,2,345,345,8487.03577114768,8.48703577114768
29,"Madison Windpower",2000,1650,7,66,15.10811064,11.55,1.308061527,11.55,4211376.801,2074891.472,2136485.329,-75.4523106619561,42.8946914099428,"NY","Madison County",36053,"Madison County","NY",1,0,3,0.000551,0.000551,0,0,91,0,140356,3,115,115,258.460614573218,0.258460614573218
30,"Wethersfield",2000,660,10,47,8.491785686,6.6,1.286634195,6.6,2100377.396,1177759.075,922618.3207,-78.2453523156525,42.6831222850808,"NY","Wyoming County",36121,"Wyoming County","NY",1,0,4,0.001117,0.001024,0,0,68,0,124224,2,230,230,2047.928796263,2.047928796263
31,"Buffalo Mountain (Windrock)",2000,660,3,47,2.397569481,1.98,1.210893677,1.98,651609.3644,343660.9463,307948.4181,-84.3386866641461,36.1207823335075,"TN","Anderson County",47001,"Anderson County","TN",10,0,3,0.000648,0.000559,0,0,80,1,148546,3,161,161,317.447838532529,0.31744783853253
32,"Foote Creek 4",2000,600,29,45,11.36649166,17.4,0.653246647,17.4,3404254.101,2415901.533,988352.5679,-106.179818499938,41.6750023158585,"WY","Carbon County",56007,"Carbon County","WY",25,0,2,0.010616,0.003673,0,0,68,1,202479,7,230,134,2640.53729883445,2.64053729883445
33,"Medicine Bow",2000,710,2,47,0.28447848,1.42,0.200336958,1.42,312403.9438,156704.4339,155699.5099,-106.240241996874,41.8300630004666,"WY","Carbon County",56007,"Carbon County","WY",25,0,2,0.010616,0.003673,0,0,68,1,204224,2,245,230,962.185489956445,0.962185489956445
34,"Mountain View Power Partners I & II",2001,600,108,45,29.79032585,64.8,0.459727251,64.8,17500820.42,8212459.856,9288360.559,-116.600409297243,33.9044374496305,"CA","Riverside County",6065,"Riverside County","CA",1,0,2,0.000561,0.000476,7,8846,94,0,303773,1,115,115,2706.48719245632,2.70648719245632
35,"Peetz Table Wind Farm",2001,900,33,52,6.146420102,29.7,0.206950172,29.7,7405958.365,3288947.205,4117011.16,-103.160903488984,40.9449117384998,"CO","Logan County",8075,"Logan County","CO",15,0,6,0.000925,0.00036,0,0,89,0,201539,2,230,115,589.74616625406,0.58974616625406
36,"Ponnequin (PSCo)",2001,660,15,47,6.464290923,9.9,0.652958679,9.9,1865671.163,1372802.888,492868.2749,-104.802904310032,40.9955648642568,"CO","Weld County",8123,"Weld County","CO",10,0,2,0.012439,0.002143,0,0,93,0,201408,4,115,115,673.120203412088,0.673120203412088
37,"Top of Iowa",2001,900,89,52,77.28111711,80.1,0.964807954,80.1,18732961.7,12731745.26,6001216.44,-93.4133897445658,43.3667273934757,"IA","Worth County",19195,"Worth County","IA",10,0,5,0.000335,0.000335,0,0,77,0,133291,2,161,161,10005.8287919954,10.0058287919954
38,"Gray County Wind Farm Montezuma)",2001,660,170,47,94.15833022,112.2,0.839200804,112.2,26322539.43,17082938.95,9239600.48,-100.383000691492,37.6129896036577,"KS","Gray County",20069,"Gray County","KS",10,0,3,0.002347,0.000546,0,0,64,0,173225,3,115,115,24393.22628303,24.39322628303
39,"Hull I",2001,660,1,47,0.891051275,0.66,1.35007769,0.66,261109.095,120699.2795,140409.8156,-70.922195,42.30439,"MA","Plymouth County",25023,"Plymouth County","MA",128,0,3,0.000447,0.000471,0,0,92,0,133551,1,115,115,7677.63230515762,7.67763230515762
40,"Mackinaw City (Bay Windpower I)",2001,900,2,52,1.867415372,1.8,1.037452985,1.8,528163.8836,293339.2109,234824.6726,-84.7399410001022,45.7618025115746,"MI","Emmet County",26047,"Emmet County","MI",30,0,5,0.000801,0.000249,0,0,80,0,128576,4,138,138,3490.10872455784,3.49010872455784
41,"Agassiz Beach",2001,660,2,47,1.194566868,1.32,0.9049749,1.32,304553.4315,206617.2401,97936.19135,-96.435493,47.002392,"MN","Clay County",27027,"Clay County","MN",30,0,2,0.000341,0.000341,0,0,93,0,130187,2,115,115,26315.2015596742,26.3152015596742
42,"Champepaden, Chandler Hills Phase II",2001,660,3,47,1.886223642,1.98,0.952638203,1.98,467655.1944,312205.3646,155449.8298,-95.9556603017851,43.9202256979163,"MN","Murray County",27101,"Murray County","MN",10,0,4,0.000505,0.000505,0,0,68,0,173518,3,115,115,3771.33276978327,3.77133276978327
43,"Kas Farms",2001,750,2,48,1.360137085,1.5,0.906758056,1.5,387725.8727,233823.7835,153902.0893,-96.1139679943074,44.0123155065012,"MN","Pipestone County",27117,"Pipestone County","MN",25,0,5,0.000505,0.000505,0,0,67,0,173518,3,115,115,16998.8408186047,16.9988408186047
44,"Lakeview Ridge",2001,900,1,52,0.809538043,0.9,0.899486714,0.9,232319.9589,139513.7661,92806.19282,-96.450592,44.520393,"MN","Lincoln County",27081,"Lincoln County","MN",1,0,5,0.000505,0.000505,0,0,67,0,175847,2,345,345,11930.2373877557,11.9302373877557
45,"Metro Wind, LLC",2001,660,1,47,0.589834634,0.66,0.89368884,0.66,168442.1024,102327.3479,66114.75445,-93.560692,45.378792,"MN","Sherburne County",27141,"Sherburne County","MN",1,0,2,0.000704,0.000578,2,2814,85,0,132179,2,115,115,16716.8694168114,16.7168694168114
46,"Moulton, Chandler Hills Wind Farm Phase II",2001,660,3,47,2.014895205,1.98,1.017623841,1.98,461196.5947,320522.4496,140674.1451,-95.9510270287161,43.9006923444042,"MN","Murray County",27101,"Murray County","MN",1,0,4,0.000505,0.000505,0,0,68,0,173518,3,115,115,5398.71813476278,5.39871813476278
47,"Ruthton Wind Farm",2001,660,24,47,14.13156439,15.84,0.892144216,15.84,4118326.987,2437567.835,1680759.152,-96.2194774893097,44.2223236954035,"MN","Lincoln County",27081,"Lincoln County","MN",30,0,5,0.000505,0.000505,0,0,67,0,132492,3,115,115,3703.0818732554,3.7030818732554
48,"Wilmont Hills",2001,1500,1,72,1.264504628,1.5,0.843003085,1.5,389959.9879,228430.9937,161528.9941,-95.853493,43.754791,"MN","Nobles County",27105,"Nobles County","MN",1,0,2,0.000505,0.000505,0,0,88,0,138639,1,115,115,21870.6193406175,21.8706193406175
49,"Fenner Wind Power Project",2001,1500,19,70.5,36.58442754,28.5,1.283664124,28.5,10440520.54,5078810.007,5361710.536,-75.7577956362893,42.9862174461507,"NY","Madison County",36053,"Madison County","NY",1,0,3,0.000551,0.000551,0,0,91,0,125572,3,115,115,1327.64755462704,1.32764755462704
50,"Condon Wind Project, phase I",2001,600,41,47,7.444763976,24.6,0.302632682,24.6,6327906.21,2871537.503,3456368.707,-120.271447518175,45.2500363402298,"OR","Gilliam County",41021,"Gilliam County","OR",10,0,4,0,0.000679,1,31,67,1,203419,3,115,115,592.768490412762,0.592768490412762
51,"Klondike I",2001,1500,15,70.5,24.10153809,22.5,1.071179471,22.5,5648778.853,3716627.686,1932151.168,-120.549421168368,45.5625056178202,"OR","Sherman County",41055,"Sherman County","OR",1,0,3,0,0.000679,0,0,65,0,201398,1,115,115,4792.42506261286,4.79242506261286
52,"Stateline Wind Project",2001,660,127,47,32.0086598,83.82,0.381873775,83.82,20518299.79,10234283.87,10284015.91,-118.77131889953,45.9930315305785,"OR","Umatilla County",41059,"Umatilla County","OR",10,0,3,0.000248,0.000248,1,399,89,0,201244,4,230,115,5618.0352840435,5.6180352840435
53,"Mill Run Windpower LLC",2001,1500,9,70.5,18.08999999,13.5,1.339999999,13.5,3871205.501,2468682.576,1402522.925,-79.3909129238813,39.9203927233757,"PA","Fayette County",42051,"Fayette County","PA",10,0,5,0.002212,0.000908,0,0,87,1,124590,1,138,138,15287.0995317137,15.2870995317137
54,"Somerset",2001,1500,6,70.5,11.98031096,9,1.331145663,9,2971333.831,1645512.527,1325821.304,-79.0112822244671,39.9782855860387,"PA","Somerset County",42111,"Somerset County","PA",1,0,5,0.00074,0.00074,0,0,87,1,127773,1,115,115,21728.9396327877,21.7289396327877
55,"Chamberlain Wind Project",2001,1300,2,60,1.573520607,2.6,0.605200234,2.6,618787.3735,359916.8483,258870.5252,-99.2478410120561,43.8485430031278,"SD","Brule County",46015,"Brule County","SD",10,0,4,0.000961,0.000678,0,0,67,0,144149,4,345,230,34532.382165678,34.532382165678
56,"Desert Sky",2001,1500,76,82.5,107.5685411,114,0.943583693,114,27009421.89,17922662.5,9086759.384,-102.120547073269,30.9282948714435,"TX","Pecos County",48371,"Pecos County","TX",10,0,4,0,0,2,1222,41,0,315844,3,138,138,5046.96283549139,5.04696283549139
57,"Indian Mesa",2001,660,125,47,86.50725033,82.5,1.048572731,82.5,22748548.87,13488431.85,9260117.029,-102.197263492609,30.9446072796735,"TX","Pecos County",48371,"Pecos County","TX",10,0,4,0,0,2,1222,41,0,308054,3,138,138,1445.4602222757,1.4454602222757
58,"King Mtn. Wind Ranch",2001,1300,213,65,287.508959,276.9,1.038313322,276.9,77532280.47,45192332.96,32339947.5,-102.192069075911,31.2401750705966,"TX","Upton County",48461,"Upton County","TX",10,0,3,0,0,0,0,41,0,315842,3,138,138,5803.43879002524,5.80343879002524
59,"Llano Estacado Wind Ranch at White Deer",2001,1000,80,57,95.68109357,80,1.19601367,80,22740547.52,13824852.28,8915695.235,-101.225654189788,35.4671446379839,"TX","Carson County",48065,"Carson County","TX",10,0,3,0.000694,0.000573,0,0,78,0,302910,2,115,115,2483.09381994763,2.48309381994763
60,"Trent Mesa",2001,1500,83,82.5,127.9795429,124.5,1.027948136,124.5,34387970.31,20349643.26,14038327.05,-100.22982899233,32.4343793026254,"TX","Nolan County",48353,"Nolan County","TX",10,0,3,0,0,0,0,73,0,313413,2,138,138,16772.9030337659,16.7729030337659
61,"Woodward Mountain II",2001,660,239,47,169.751712,157.74,1.076148802,157.74,41281479.92,26112575.17,15168904.75,-102.438424482211,30.9369201078408,"TX","Pecos County",48371,"Pecos County","TX",10,0,4,0,0,2,1222,41,0,305167,2,138,138,5374.65287567866,5.37465287567866
62,"Stateline Wind Project",2001,660,267,47,226.2073718,176.22,1.283664577,176.22,55876629.44,31416637.81,24459991.63,-118.817827190203,46.0180891856772,"WA","Walla Walla County",53071,"Walla Walla County","WA",10,0,2,0,0,1,0,92,0,206072,2,230,230,2273.46364344764,2.27346364344764
63,"Montfort Wind Farm",2001,1500,20,70.5,27.59112547,30,0.919704182,30,6193093.755,4730388.404,1462705.352,-90.3800940242545,42.9579489089105,"WI","Iowa County",55049,"Iowa County","WI",1,0,3,0.000419,0.000419,0,0,82,0,143868,2,138,138,29136.1445662099,29.1361445662099
64,"Rock River I",2001,1000,49,57,14.53522532,49,0.296637251,49,9211142.326,5728670.479,3482471.847,-106.110489944401,41.7182163993844,"WY","Carbon County",56007,"Carbon County","WY",10,0,2,0.010616,0.003673,0,0,68,1,201269,4,230,230,7454.73711438858,7.45473711438858
65,"Cabazon",2002,660,62,47,14.89517105,40.92,0.364007113,40.92,11445096.77,4938092.284,6507004.491,-116.731915858657,33.9117496956133,"CA","Riverside County",6065,"Riverside County","CA",45,0,2,0.000561,0.000476,7,8846,94,0,307979,3,115,115,1889.20769559339,1.88920769559339
66,"Whitewater Hill",2002,1500,41,65,19.17190151,61.5,0.311738236,61.5,20461595.02,7217472.309,13244122.71,-116.61971353275,33.9258762430547,"CA","Riverside County",6065,"Riverside County","CA",25,0,2,0.000561,0.000476,7,8846,94,0,307141,2,115,230,1307.21377994643,1.30721377994643
67,"Eldora-New Providence Schools",2002,750,1,48,0.5877093,0.75,0.7836124,0.75,234692.5803,111079.291,123613.2893,-93.115601,42.354755,"IA","Hardin County",19083,"Hardin County","IA",1,0,5,0.000335,0.000335,1,300,77,0,130757,1,161,161,16167.4481284517,16.1674481284517
68,"Hancock County Wind Farm",2002,676,148,47,33.18384781,100.048,0.331679272,100.048,26726740.82,11929931.85,14796808.96,-93.6845480362418,43.0160292239954,"IA","Hancock County",19081,"Hancock County","IA",1,0,5,6e-04,0.00025,0,0,67,0,130508,2,161,161,9136.68378974505,9.13668378974505
69,"McNeilus",2002,900,10,52,9.001802517,9,1.00020028,9,2155457.774,1454345.212,701112.562,-92.8518130323463,43.9775823647163,"MN","Dodge County",27039,"Dodge County","MN",1,0,3,0.000127,0.000127,0,0,84,0,129302,2,161,161,15297.2574505987,15.2972574505987
70,"MinWind I & II",2002,950,4,54,3.336604862,3.8,0.878053911,3.8,949770.4097,583785.9596,365984.4501,-96.3091671103508,43.5548304519698,"MN","Rock County",27133,"Rock County","MN",1,0,5,0.000505,0.000505,0,0,69,0,132562,3,161,161,11368.4661004239,11.3684661004239
71,"Missouri River Energy Services (MRES)",2002,900,4,52,2.70965512,3.6,0.752681978,3.6,869618.2591,527550.6793,342067.5799,-95.6800560348888,43.6217917141345,"MN","Nobles County",27105,"Nobles County","MN",1,0,2,0.000505,0.000505,0,0,88,0,129805,2,161,161,20749.2816286785,20.7492816286785
72,"PrairieWinds Minot Wind 1",2002,1300,2,60,2.735371235,2.6,1.052065859,2.6,655958.9768,427618.854,228340.1228,-101.291087985394,48.0263920003931,"ND","Ward County",38101,"Ward County","ND",15,0,2,0.028596,0.002212,0,0,89,0,133975,2,115,115,10720.588475749,10.720588475749
73,"Condon Wind Project, phase II",2002,600,42,47,19.28849521,25.2,0.765416477,25.2,7606540.189,3681199.329,3925340.86,-120.272018601845,45.2936792921944,"OR","Gilliam County",41021,"Gilliam County","OR",1,0,4,0,0.000679,1,31,67,1,203419,3,115,115,5252.42701159884,5.25242701159884
74,"Stateline Wind Project",2002,660,60,47,35.07420722,39.6,0.885712304,39.6,11311794.53,6089922.748,5221871.783,-118.786793180711,45.9719868852027,"OR","Umatilla County",41059,"Umatilla County","OR",1,0,3,0.000248,0.000248,1,399,89,0,201244,4,230,115,7414.80475778278,7.41480475778279
75,"Nine Canyon",2002,1300,37,62,52.24392561,48.1,1.086152299,48.1,11829991.65,7978173.906,3851817.748,-119.095134217194,46.0950276310548,"WA","Benton County",53005,"Benton County","WA",10,0,2,0.000584,0.000671,0,0,94,1,201243,2,115,115,1663.02125324816,1.66302125324816
76,"Mountaineer Wind Energy Center (Thomas)",2002,1500,44,72,88.31529349,66,1.338110507,66,18835343.89,12011323.67,6824020.221,-79.5401807286423,39.1810365580725,"WV","Tucker County",54093,"Tucker County","WV",10,0,4,0.00663,0.003579,1,169,66,1,139271,3,138,138,5970.5319038206,5.9705319038206
77,"High Winds",2003,1800,90,80,174.5261818,162,1.07732211,162,39715361.76,26787298.01,12928063.75,-121.805905986576,38.1279302361575,"CA","Solano County",6095,"Solano County","CA",10,0,2,0.000317,0.000317,1,331,93,0,309954,4,230,230,2156.09285283607,2.15609285283607
78,"Karen Avenue Windfarm",2004,1500,3,77,3.950607236,4.5,0.877912719,4.5,1244197.373,687568.0228,556629.3502,-116.555267338661,33.9212110001369,"CA","Riverside County",6065,"Riverside County","CA",1,0,2,0.000561,0.000476,7,8846,94,0,309947,1,115,115,1205.35952310468,1.20535952310468
79,"Mountain View Power Partners III",2003,660,33,47,21.80692723,21.78,1.001236328,21.78,7281400.472,3496300.89,3785099.582,-116.591316561899,33.9137528808463,"CA","Riverside County",6065,"Riverside County","CA",1,0,2,0.000561,0.000476,7,8846,94,0,303773,1,115,115,1387.37930866864,1.38737930866864
80,"Solano Wind Project, Phase I",2003,660,15,47,3.633098741,9.9,0.366979671,9.9,2916213.627,1199214.049,1716999.577,-121.770847663344,38.127509463381,"CA","Solano County",6095,"Solano County","CA",1,0,2,0.000317,0.000317,1,331,93,0,309954,4,230,230,5209.46106871809,5.2094610687181
81,"Colorado Green Wind Project",2003,1600,108,91,37.52715976,172.8,0.217171063,172.8,42775365.13,19273323.57,23502041.56,-102.637934746995,37.7008299375061,"CO","Prowers County",8099,"Prowers County","CO",10,0,5,0.000925,0.00036,0,0,75,1,202172,2,230,230,2516.46508554854,2.51646508554854
82,"Flying Cloud",2003,1500,29,70.5,43.0003485,43.5,0.988513759,43.5,12145058.84,6965960.401,5179098.442,-95.2999235305788,43.3857395879898,"IA","Dickinson County",19059,"Dickinson County","IA",10,0,6,6e-04,0.00025,0,0,91,0,130504,2,161,161,6374.95607917676,6.37495607917676
83,"Lenox Municipal Utilities",2003,750,1,48,0.88004216,0.75,1.173389546,0.75,206858.0872,129077.1981,77780.88907,-94.538094,40.896694,"IA","Taylor County",19173,"Taylor County","IA",1,0,5,0.000167,0.000167,0,0,67,0,173497,2,161,161,11200.1452867868,11.2001452867868
84,"Chanarambie",2003,1500,57,70.5,83.45447584,85.5,0.976075741,85.5,21952141.33,13660629.31,8291512.016,-96.0352866919709,44.0097250122453,"MN","Murray County",27101,"Murray County","MN",1,0,4,0.000505,0.000505,0,0,68,0,173518,3,115,115,11481.0649732078,11.4810649732078
85,"Don Sneve Wind Farms",2003,950,1,54,0.967775398,0.95,1.018710946,0.95,247721.7337,155197.286,92524.44771,-95.843666,43.747753,"MN","Nobles County",27105,"Nobles County","MN",1,0,2,0.000505,0.000505,0,0,88,0,138639,1,115,115,22836.2515704371,22.8362515704371
86,"Farmers' coops/Westridge",2003,950,18,64,15.07705509,17.1,0.881699128,17.1,4468839.8,2641727.13,1827112.67,-96.1405238197631,44.016627984973,"MN","Pipestone County",27117,"Pipestone County","MN",10,0,5,0.000505,0.000505,0,0,67,0,173518,3,115,115,19129.4339451166,19.1294339451166
87,"G. McNeilus Wind Farm",2003,1500,9,77,12.69749619,13.5,0.940555273,13.5,3522862.345,2126012.625,1396849.72,-92.7228909600193,43.5538587162208,"MN","Mower County",27099,"Mower County","MN",10,0,3,0.000695,0.000695,0,0,90,0,130515,1,345,345,10652.4455288177,10.6524455288177
88,"McNeilus",2003,950,24,54,20.82910575,22.8,0.91355727,22.8,5825299.411,3560626.36,2264673.051,-92.8501667338031,43.9801661385618,"MN","Dodge County",27039,"Dodge County","MN",1,0,3,0.000127,0.000127,0,0,84,0,129302,2,161,161,15272.3292300226,15.2723292300226
89,"McNeilus",2003,1650,1,82,1.474914978,1.65,0.893887865,1.65,393581.8738,255825.0896,137756.7842,-92.84951,43.958355,"MN","Dodge County",27039,"Dodge County","MN",1,0,3,0.000127,0.000127,0,0,84,0,129302,2,161,161,16613.6954055317,16.6136954055317
90,"McNeilus",2003,1500,6,72,6.882723672,9,0.764747075,9,2166696.496,1321425.725,845270.7712,-92.8538633053759,43.9814835261695,"MN","Dodge County",27039,"Dodge County","MN",1,0,3,0.000127,0.000127,0,0,84,0,129302,2,161,161,14941.8801818158,14.9418801818158
91,"Missouri River Energy Services (MRES)",2003,950,2,54,1.424315223,1.9,0.749639591,1.9,460543.4605,278049.293,182494.1675,-95.677044,43.6199910118942,"MN","Nobles County",27105,"Nobles County","MN",1,0,2,0.000505,0.000505,0,0,88,0,129805,2,161,161,20630.429634011,20.630429634011
92,"Moraine Wind Power project",2003,1500,34,70.5,39.00201485,51,0.764745389,51,12277923.77,7477301.636,4800622.139,-96.0574197387263,44.0653421090959,"MN","Pipestone County",27101,"Murray County","MN",10,0,4,0.000505,0.000505,0,0,68,0,138628,3,115,115,12343.53535511,12.34353535511
