"pid","p_name","p_year","t_cap","t_count","slr_cpc","wnd_cpc","slr_wn","tx_cpct","revenue","cost","profit","fips","county","state","region","env_sens_score","dac_sts","energy_brdn","foss_emplmt","coal_emplmt","outage_n","outage_dur","rci","energy_community","max_volt","min_volt","distance_km","lon","lat"
48,"Wilmont Hills",2001,1500,1,1.264504628,1.5,0.843003085,1.5,389959.9879,228430.9937,161528.9941,27105,"Nobles County","MN","West North Central",1,0,2,0.000505,0.000505,0,0,88,0,115,115,21.8706193406175,-95.853493,43.754791
49,"Fenner Wind Power Project",2001,1500,19,36.58442754,28.5,1.283664124,28.5,10440520.54,5078810.007,5361710.536,36053,"Madison County","NY","Mid Atlantic",1,0,3,0.000551,0.000551,0,0,91,0,115,115,1.32764755462704,-75.7577956362893,42.9862174461507
50,"Condon Wind Project, phase I",2001,600,41,7.444763976,24.6,0.302632682,24.6,6327906.21,2871537.503,3456368.707,41021,"Gilliam County","OR","Pacific",10,0,4,0,0.000679,1,31,67,1,115,115,0.592768490412762,-120.271447518175,45.2500363402298
51,"Klondike I",2001,1500,15,24.10153809,22.5,1.071179471,22.5,5648778.853,3716627.686,1932151.168,41055,"Sherman County","OR","Pacific",1,0,3,0,0.000679,0,0,65,0,115,115,4.79242506261286,-120.549421168368,45.5625056178202
52,"Stateline Wind Project",2001,660,127,32.0086598,83.82,0.381873775,83.82,20518299.79,10234283.87,10284015.91,41059,"Umatilla County","OR","Pacific",10,0,3,0.000248,0.000248,1,399,89,0,230,115,5.6180352840435,-118.77131889953,45.9930315305785
53,"Mill Run Windpower LLC",2001,1500,9,18.08999999,13.5,1.339999999,13.5,3871205.501,2468682.576,1402522.925,42051,"Fayette County","PA","Mid Atlantic",10,0,5,0.002212,0.000908,0,0,87,1,138,138,15.2870995317137,-79.3909129238813,39.9203927233757
54,"Somerset",2001,1500,6,11.98031096,9,1.331145663,9,2971333.831,1645512.527,1325821.304,42111,"Somerset County","PA","Mid Atlantic",1,0,5,0.00074,0.00074,0,0,87,1,115,115,21.7289396327877,-79.0112822244671,39.9782855860387
55,"Chamberlain Wind Project",2001,1300,2,1.573520607,2.6,0.605200234,2.6,618787.3735,359916.8483,258870.5252,46015,"Brule County","SD","West North Central",10,0,4,0.000961,0.000678,0,0,67,0,345,230,34.532382165678,-99.2478410120561,43.8485430031278
56,"Desert Sky",2001,1500,76,107.5685411,114,0.943583693,114,27009421.89,17922662.5,9086759.384,48371,"Pecos County","TX","West South Central",10,0,4,0,0,2,1222,41,0,138,138,5.04696283549139,-102.120547073269,30.9282948714435
57,"Indian Mesa",2001,660,125,86.50725033,82.5,1.048572731,82.5,22748548.87,13488431.85,9260117.029,48371,"Pecos County","TX","West South Central",10,0,4,0,0,2,1222,41,0,138,138,1.4454602222757,-102.197263492609,30.9446072796735
58,"King Mtn. Wind Ranch",2001,1300,213,287.508959,276.9,1.038313322,276.9,77532280.47,45192332.96,32339947.5,48461,"Upton County","TX","West South Central",10,0,3,0,0,0,0,41,0,138,138,5.80343879002524,-102.192069075911,31.2401750705966
59,"Llano Estacado Wind Ranch at White Deer",2001,1000,80,95.68109357,80,1.19601367,80,22740547.52,13824852.28,8915695.235,48065,"Carson County","TX","West South Central",10,0,3,0.000694,0.000573,0,0,78,0,115,115,2.48309381994763,-101.225654189788,35.4671446379839
60,"Trent Mesa",2001,1500,83,127.9795429,124.5,1.027948136,124.5,34387970.31,20349643.26,14038327.05,48353,"Nolan County","TX","West South Central",10,0,3,0,0,0,0,73,0,138,138,16.7729030337659,-100.22982899233,32.4343793026254
61,"Woodward Mountain II",2001,660,239,169.751712,157.74,1.076148802,157.74,41281479.92,26112575.17,15168904.75,48371,"Pecos County","TX","West South Central",10,0,4,0,0,2,1222,41,0,138,138,5.37465287567866,-102.438424482211,30.9369201078408
62,"Stateline Wind Project",2001,660,267,226.2073718,176.22,1.283664577,176.22,55876629.44,31416637.81,24459991.63,53071,"Walla Walla County","WA","Pacific",10,0,2,0,0,1,0,92,0,230,230,2.27346364344764,-118.817827190203,46.0180891856772
63,"Montfort Wind Farm",2001,1500,20,27.59112547,30,0.919704182,30,6193093.755,4730388.404,1462705.352,55049,"Iowa County","WI","East North Central",1,0,3,0.000419,0.000419,0,0,82,0,138,138,29.1361445662099,-90.3800940242545,42.9579489089105
64,"Rock River I",2001,1000,49,14.53522532,49,0.296637251,49,9211142.326,5728670.479,3482471.847,56007,"Carbon County","WY","Mountain",10,0,2,0.010616,0.003673,0,0,68,1,230,230,7.45473711438858,-106.110489944401,41.7182163993844
65,"Cabazon",2002,660,62,14.89517105,40.92,0.364007113,40.92,11445096.77,4938092.284,6507004.491,6065,"Riverside County","CA","Pacific",45,0,2,0.000561,0.000476,7,8846,94,0,115,115,1.88920769559339,-116.731915858657,33.9117496956133
66,"Whitewater Hill",2002,1500,41,19.17190151,61.5,0.311738236,61.5,20461595.02,7217472.309,13244122.71,6065,"Riverside County","CA","Pacific",25,0,2,0.000561,0.000476,7,8846,94,0,115,230,1.30721377994643,-116.61971353275,33.9258762430547
67,"Eldora-New Providence Schools",2002,750,1,0.5877093,0.75,0.7836124,0.75,234692.5803,111079.291,123613.2893,19083,"Hardin County","IA","West North Central",1,0,5,0.000335,0.000335,1,300,77,0,161,161,16.1674481284517,-93.115601,42.354755
68,"Hancock County Wind Farm",2002,676,148,33.18384781,100.048,0.331679272,100.048,26726740.82,11929931.85,14796808.96,19081,"Hancock County","IA","West North Central",1,0,5,6e-04,0.00025,0,0,67,0,161,161,9.13668378974505,-93.6845480362418,43.0160292239954
69,"McNeilus",2002,900,10,9.001802517,9,1.00020028,9,2155457.774,1454345.212,701112.562,27039,"Dodge County","MN","West North Central",1,0,3,0.000127,0.000127,0,0,84,0,161,161,15.2972574505987,-92.8518130323463,43.9775823647163
70,"MinWind I & II",2002,950,4,3.336604862,3.8,0.878053911,3.8,949770.4097,583785.9596,365984.4501,27133,"Rock County","MN","West North Central",1,0,5,0.000505,0.000505,0,0,69,0,161,161,11.3684661004239,-96.3091671103508,43.5548304519698
71,"Missouri River Energy Services (MRES)",2002,900,4,2.70965512,3.6,0.752681978,3.6,869618.2591,527550.6793,342067.5799,27105,"Nobles County","MN","West North Central",1,0,2,0.000505,0.000505,0,0,88,0,161,161,20.7492816286785,-95.6800560348888,43.6217917141345
72,"PrairieWinds Minot Wind 1",2002,1300,2,2.735371235,2.6,1.052065859,2.6,655958.9768,427618.854,228340.1228,38101,"Ward County","ND","West North Central",15,0,2,0.028596,0.002212,0,0,89,0,115,115,10.720588475749,-101.291087985394,48.0263920003931
73,"Condon Wind Project, phase II",2002,600,42,19.28849521,25.2,0.765416477,25.2,7606540.189,3681199.329,3925340.86,41021,"Gilliam County","OR","Pacific",1,0,4,0,0.000679,1,31,67,1,115,115,5.25242701159884,-120.272018601845,45.2936792921944
74,"Stateline Wind Project",2002,660,60,35.07420722,39.6,0.885712304,39.6,11311794.53,6089922.748,5221871.783,41059,"Umatilla County","OR","Pacific",1,0,3,0.000248,0.000248,1,399,89,0,230,115,7.41480475778279,-118.786793180711,45.9719868852027
75,"Nine Canyon",2002,1300,37,52.24392561,48.1,1.086152299,48.1,11829991.65,7978173.906,3851817.748,53005,"Benton County","WA","Pacific",10,0,2,0.000584,0.000671,0,0,94,1,115,115,1.66302125324816,-119.095134217194,46.0950276310548
76,"Mountaineer Wind Energy Center (Thomas)",2002,1500,44,88.31529349,66,1.338110507,66,18835343.89,12011323.67,6824020.221,54093,"Tucker County","WV","South Atlantic",10,0,4,0.00663,0.003579,1,169,66,1,138,138,5.9705319038206,-79.5401807286423,39.1810365580725
77,"High Winds",2003,1800,90,174.5261818,162,1.07732211,162,39715361.76,26787298.01,12928063.75,6095,"Solano County","CA","Pacific",10,0,2,0.000317,0.000317,1,331,93,0,230,230,2.15609285283607,-121.805905986576,38.1279302361575
78,"Karen Avenue Windfarm",2004,1500,3,3.950607236,4.5,0.877912719,4.5,1244197.373,687568.0228,556629.3502,6065,"Riverside County","CA","Pacific",1,0,2,0.000561,0.000476,7,8846,94,0,115,115,1.20535952310468,-116.555267338661,33.9212110001369
79,"Mountain View Power Partners III",2003,660,33,21.80692723,21.78,1.001236328,21.78,7281400.472,3496300.89,3785099.582,6065,"Riverside County","CA","Pacific",1,0,2,0.000561,0.000476,7,8846,94,0,115,115,1.38737930866864,-116.591316561899,33.9137528808463
80,"Solano Wind Project, Phase I",2003,660,15,3.633098741,9.9,0.366979671,9.9,2916213.627,1199214.049,1716999.577,6095,"Solano County","CA","Pacific",1,0,2,0.000317,0.000317,1,331,93,0,230,230,5.2094610687181,-121.770847663344,38.127509463381
81,"Colorado Green Wind Project",2003,1600,108,37.52715976,172.8,0.217171063,172.8,42775365.13,19273323.57,23502041.56,8099,"Prowers County","CO","Mountain",10,0,5,0.000925,0.00036,0,0,75,1,230,230,2.51646508554854,-102.637934746995,37.7008299375061
82,"Flying Cloud",2003,1500,29,43.0003485,43.5,0.988513759,43.5,12145058.84,6965960.401,5179098.442,19059,"Dickinson County","IA","West North Central",10,0,6,6e-04,0.00025,0,0,91,0,161,161,6.37495607917676,-95.2999235305788,43.3857395879898
83,"Lenox Municipal Utilities",2003,750,1,0.88004216,0.75,1.173389546,0.75,206858.0872,129077.1981,77780.88907,19173,"Taylor County","IA","West North Central",1,0,5,0.000167,0.000167,0,0,67,0,161,161,11.2001452867868,-94.538094,40.896694
84,"Chanarambie",2003,1500,57,83.45447584,85.5,0.976075741,85.5,21952141.33,13660629.31,8291512.016,27101,"Murray County","MN","West North Central",1,0,4,0.000505,0.000505,0,0,68,0,115,115,11.4810649732078,-96.0352866919709,44.0097250122453
85,"Don Sneve Wind Farms",2003,950,1,0.967775398,0.95,1.018710946,0.95,247721.7337,155197.286,92524.44771,27105,"Nobles County","MN","West North Central",1,0,2,0.000505,0.000505,0,0,88,0,115,115,22.8362515704371,-95.843666,43.747753
86,"Farmers' coops/Westridge",2003,950,18,15.07705509,17.1,0.881699128,17.1,4468839.8,2641727.13,1827112.67,27117,"Pipestone County","MN","West North Central",10,0,5,0.000505,0.000505,0,0,67,0,115,115,19.1294339451166,-96.1405238197631,44.016627984973
87,"G. McNeilus Wind Farm",2003,1500,9,12.69749619,13.5,0.940555273,13.5,3522862.345,2126012.625,1396849.72,27099,"Mower County","MN","West North Central",10,0,3,0.000695,0.000695,0,0,90,0,345,345,10.6524455288177,-92.7228909600193,43.5538587162208
88,"McNeilus",2003,950,24,20.82910575,22.8,0.91355727,22.8,5825299.411,3560626.36,2264673.051,27039,"Dodge County","MN","West North Central",1,0,3,0.000127,0.000127,0,0,84,0,161,161,15.2723292300226,-92.8501667338031,43.9801661385618
89,"McNeilus",2003,1650,1,1.474914978,1.65,0.893887865,1.65,393581.8738,255825.0896,137756.7842,27039,"Dodge County","MN","West North Central",1,0,3,0.000127,0.000127,0,0,84,0,161,161,16.6136954055317,-92.84951,43.958355
90,"McNeilus",2003,1500,6,6.882723672,9,0.764747075,9,2166696.496,1321425.725,845270.7712,27039,"Dodge County","MN","West North Central",1,0,3,0.000127,0.000127,0,0,84,0,161,161,14.9418801818158,-92.8538633053759,43.9814835261695
91,"Missouri River Energy Services (MRES)",2003,950,2,1.424315223,1.9,0.749639591,1.9,460543.4605,278049.293,182494.1675,27105,"Nobles County","MN","West North Central",1,0,2,0.000505,0.000505,0,0,88,0,161,161,20.630429634011,-95.677044,43.6199910118942
92,"Moraine Wind Power project",2003,1500,34,39.00201485,51,0.764745389,51,12277923.77,7477301.636,4800622.139,27101,"Murray County","MN","West North Central",10,0,4,0.000505,0.000505,0,0,68,0,115,115,12.34353535511,-96.0574197387263,44.0653421090959
93,"Pipestone School District",2003,750,1,0.70479148,0.75,0.939721973,0.75,195651.597,118780.995,76870.60197,27117,"Pipestone County","MN","West North Central",1,0,5,0.000505,0.000505,0,0,67,0,115,115,22.2703423099806,-96.340393,44.000893
94,"Shaokatan Power Partners",2003,800,2,1.35117252,1.6,0.844482825,1.6,414776.601,242167.172,172609.429,27081,"Lincoln County","MN","West North Central",10,0,5,0.000505,0.000505,0,0,67,0,345,345,9.25539537602027,-96.4182430072104,44.3978920005375
95,"Viking",2003,1500,8,11.96516537,12,0.997097114,12,3027165.429,1929108.017,1098057.412,27101,"Murray County","MN","West North Central",10,0,4,0.000505,0.000505,0,0,68,0,115,115,7.41619868899789,-96.0081441878287,43.9721121578295
96,"North Dakota Wind I",2003,1500,27,37.30142487,40.5,0.921022836,40.5,10400283.16,6306157.536,4094125.625,38045,"LaMoure County","ND","West North Central",30,0,6,0.000382,0.000382,0,0,54,0,115,115,3.86132343816427,-98.8857648741915,46.3210895642882
97,"North Dakota Wind II",2003,1500,14,18.86792868,21,0.898472794,21,5506846.827,3240441.114,2266405.713,38045,"LaMoure County","ND","West North Central",10,0,6,0.000382,0.000382,0,0,54,0,115,115,3.99435153177617,-98.8844610767205,46.3196086496469
98,"Llano Estacado Wind Ranch at Texico II",2003,660,2,1.201992893,1.32,0.910600677,1.32,322232.4903,204967.7605,117264.7298,35009,"Curry County","NM","Mountain",10,0,3,0.017882,0.001407,0,0,86,0,115,115,6.61034091124728,-103.055873535324,34.3574525047378
99,"New Mexico Wind Energy Center",2003,1500,136,185.7444842,204,0.910512178,204,49798462.16,31668834.73,18129627.43,35037,"Quay County","NM","Mountain",10,0,7,0.017882,0.001407,0,0,73,0,345,115,6.19601433066289,-104.068131038944,34.6363797213978
100,"Bowling Green Municipal",2003,1800,2,4.665331164,3.6,1.295925323,3.6,1158415.902,647549.581,510866.3213,39173,"Wood County","OH","East North Central",1,0,3,0.000759,0.000193,0,0,93,0,138,138,12.4415766034703,-83.740997,41.375391
101,"Blue Canyon I",2003,1650,45,87.62470139,74.25,1.180130658,74.25,16837061.02,12761956.41,4075104.609,40031,"Comanche County","OK","West South Central",10,0,3,0.000335,0.000335,0,0,88,0,138,138,3.24410970493671,-98.5729905511441,34.8540971715735
102,"Oklahoma Wind A",2003,1500,68,113.3931683,102,1.111697729,102,22123603.63,17076128.33,5047475.292,40153,"Woodward County","OK","West South Central",1,0,3,0.011018,0.000909,0,0,86,0,138,138,1.01613964178485,-99.3006373048966,36.5817240589441
103,"Combine Hills I",2003,1000,41,42.23652833,41,1.030159227,41,14071002.28,6664992.656,7406009.628,41059,"Umatilla County","OR","Pacific",1,0,3,0.000248,0.000248,1,399,89,0,230,230,4.11965235780293,-118.575678607357,45.9389639384357
104,"Meyersdale",2003,1500,20,38.85752061,30,1.295250687,30,11619112.4,5392980.044,6226132.357,42111,"Somerset County","PA","Mid Atlantic",10,0,5,0.00074,0.00074,0,0,87,1,138,138,11.6216858054536,-79.0030111451322,39.7897529129475
105,"Waymart Wind Farm",2003,1500,43,92.77708506,64.5,1.43840442,64.5,19848021.55,12240127.77,7607893.782,42127,"Wayne County","PA","Mid Atlantic",1,0,8,0.004968,0.000946,0,0,71,1,115,115,24.4357975582778,-75.4381557370321,41.594695616358
106,"Rosebud Sioux",2003,750,1,0.476519675,0.75,0.635359567,0.75,171361.1271,103588.8138,67772.31332,46121,"Todd County","SD","West North Central",10,1,9,0.000961,0.000678,0,0,59,0,115,115,7.47853854901285,-100.578491,43.002693
107,"South Dakota",2003,1500,27,24.42857555,40.5,0.603174705,40.5,9103634.24,5575563.202,3528071.039,46069,"Hyde County","SD","West North Central",15,0,3,0.000961,0.000678,0,0,54,0,345,230,26.7265909712845,-99.4564297850812,44.3690379023096
108,"Brazos Wind Ranch",2003,1000,160,86.7585665,160,0.542241041,160,33376250.53,21558477.63,11817772.9,48033,"Borden County","TX","West South Central",10,0,4,0,0,0,0,50,0,138,138,37.6364439351735,-101.20363983142,32.9417295300559
109,"Indian Mesa / Aeolus",2003,3000,1,2.800373146,3,0.933457715,3,768134.4376,469207.8698,298926.5678,48195,"Hansford County","TX","West South Central",1,0,4,0,0,0,0,42,0,115,115,2.83506345897853,-101.327888,36.472694
